03-02 00:56:58.441 17121 17305 I TestRunner: started: homeScreen_no_tabs_rendered_when_sections_are_empty(com.podcast.app.ui.HomeScreenTest)
03-02 00:56:58.450  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.450  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.450  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.450  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.450  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.450  1444  1808 D MDP     : PQSession:setPipeNum m_PipeNum[1] value[1] ID[a] DCPath[0] DCDone[0] addr[732261df]
03-02 00:56:58.450  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.450  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.450  1444  1808 D PQ      : [PQRSZConfig] PQRSZConfig::getUREnableStatus = 1
03-02 00:56:58.450  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.450  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.450  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.450  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) pqSessionId = a
03-02 00:56:58.450  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.450  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.450  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) tdshpEnable(1) enSharp(1) enDC(0) enHFG(0)
03-02 00:56:58.451  1444  1808 D MDP     : PQSession:setPipeNum m_PipeNum[1] value[1] ID[a] DCPath[0] DCDone[0] addr[732261df]
03-02 00:56:58.451  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) adl_enable = 0
03-02 00:56:58.451  1444  1808 D PQ      : [PQHFGConfig] PQHFGConfig::isEnabled = 2
03-02 00:56:58.451  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.451  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.451  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigFrame(0) hfg_enable = 0
03-02 00:56:58.451  1444  1808 D AAL     : PQEngineInterface] DpEngineTDSHPConfigFrame(0) shp_enable = 0
03-02 00:56:58.451  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.451  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.451  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.451  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
03-02 00:56:58.451  1444  1808 D MDP     : [PQSession] getDpPqConfig() enSharp[1] enDC[0] enColor[0] enHDR[0] enHDRVivid[0] enUR[0] enReFocus[0] enCcorr[1] enDRE[0] enHFG[0] enAIPQ[0] enAISDR2HDR[0] enAIRegionPQ[0] mAdaptiveEnable[0]
03-02 00:56:58.451  1444  1808 W AAL     : DpEngine_AAL: relay 1
03-02 00:56:58.451  1444  1808 D AAL     : [PQEngineInterface] DpEngineTDSHPConfigTile(0) InpSize: 793, 1920, OutSize: 793, 1920
03-02 00:56:58.451  1444  1808 D MDP     : [PQSessionManager] PQSessionManager::getPQSession id[a]
03-02 00:56:58.451  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle id[a]
03-02 00:56:58.451  1444  1808 D MDP     : [PQSessionManager] getPQSessionListHandle, find id[a]
03-02 00:56:58.451  1444  1808 D PQ      : [PQHFGConfig] PQHFGConfig::isEnabled = 2
03-02 00:56:58.451  1444  1808 D MDP     : [PQSession] getDpPqConfig() id[a] enable[1], scenario[1]
